sourcecommonname,theme,year,month,day,avgtone,numarticles
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,4,1.356852,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,5,-0.7915567,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,9,-3.7138927,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,10,-0.5326232,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,11,-2.7293403,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,12,-6.212019,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,18,-6.909091,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,19,-3.6625514,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,22,-0.54288816,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,23,-4.8526864,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,25,0.5688282,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,28,-1.0709505,1
boisestatepublicradio.org,ARMEDCONFLICT,2019,12,30,1.0638298,1
boisestatepublicradio.org,ARREST,2019,12,3,-2.4752476,1
boisestatepublicradio.org,ARREST,2019,12,4,-0.53301525,2
boisestatepublicradio.org,ARREST,2019,12,5,-4.455446,1
boisestatepublicradio.org,ARREST,2019,12,6,-2.5936599,1
boisestatepublicradio.org,ARREST,2019,12,10,-4.364672,2
boisestatepublicradio.org,ARREST,2019,12,11,-3.1503844,2
boisestatepublicradio.org,ARREST,2019,12,12,-5.686981,2
boisestatepublicradio.org,ARREST,2019,12,16,-3.343465,1
boisestatepublicradio.org,ARREST,2019,12,27,-5.378486,1
boisestatepublicradio.org,ARREST,2019,12,30,-2.7989821,1
boisestatepublicradio.org,ASSASSINATION,2019,12,11,-2.7293403,1
boisestatepublicradio.org,AVIATION_INCIDENT,2019,12,1,-0.8130081,1
boisestatepublicradio.org,AVIATION_INCIDENT,2019,12,3,-3.5856574,1
boisestatepublicradio.org,BAN,2019,12,16,-3.930131,1
boisestatepublicradio.org,BAN,2019,12,19,-3.6625514,1
boisestatepublicradio.org,BORDER,2019,12,6,-4.097715,1
boisestatepublicradio.org,BORDER,2019,12,19,-3.5497835,1
boisestatepublicradio.org,BORDER,2019,12,27,-1.980198,1
boisestatepublicradio.org,BULLYING,2019,12,13,-1.5516319,1
boisestatepublicradio.org,CEASEFIRE,2019,12,10,-0.5326232,1
boisestatepublicradio.org,CEASEFIRE,2019,12,28,-1.0709505,1
boisestatepublicradio.org,CONFISCATION,2019,12,27,-5.378486,1
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,3,-0.9118541,1
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,4,-2.8688524,1
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,9,-3.7138927,1
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,12,-4.2649093,2
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,13,-4.9043064,1
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,16,-4.2551417,2
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,18,-4.9382715,1
boisestatepublicradio.org,CONSTITUTIONAL,2019,12,19,-3.6625514,1
boisestatepublicradio.org,CORRUPTION,2019,12,3,-0.9118541,1
boisestatepublicradio.org,CORRUPTION,2019,12,11,-2.7293403,1
boisestatepublicradio.org,CORRUPTION,2019,12,12,-5.1619434,1
boisestatepublicradio.org,CORRUPTION,2019,12,13,-3.2279692,2
boisestatepublicradio.org,CORRUPTION,2019,12,18,-6.909091,1
boisestatepublicradio.org,CORRUPTION,2019,12,27,-5.378486,1
boisestatepublicradio.org,CRIME_CARTELS,2019,12,19,-3.5497835,1
boisestatepublicradio.org,CRIME_COMMON_ROBBERY,2019,12,11,-3.5714285,1
boisestatepublicradio.org,CRIME_ILLEGAL_DRUGS,2019,12,3,0.9708738,1
boisestatepublicradio.org,CRIME_ILLEGAL_DRUGS,2019,12,10,-0.97276264,1
boisestatepublicradio.org,CRIME_ILLEGAL_DRUGS,2019,12,12,-5.1619434,1
boisestatepublicradio.org,CRISISLEX_C01_CHILDREN_AND_EDUCATION,2019,12,3,-3.5856574,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,3,-1.3073918,2
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,6,-2.2201235,3
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,9,-2.8169014,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,10,-6.0740743,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,11,-2.0905924,2
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,12,-6.212019,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,17,0.62519765,2
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,18,0,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,19,-3.520984,2
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,20,3.7850025,2
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,25,0.5688282,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,27,-5.378486,1
boisestatepublicradio.org,CRISISLEX_C03_WELLBEING_HEALTH,2019,12,30,-7.51634,1
boisestatepublicradio.org,CRISISLEX_C04_LOGISTICS_TRANSPORT,2019,12,6,-4.097715,1
boisestatepublicradio.org,CRISISLEX_C04_LOGISTICS_TRANSPORT,2019,12,13,-4.7058825,1
boisestatepublicradio.org,CRISISLEX_C05_NEED_OF_SHELTERS,2019,12,4,-1.4344262,2
boisestatepublicradio.org,CRISISLEX_C05_NEED_OF_SHELTERS,2019,12,16,-3.9512496,3
boisestatepublicradio.org,CRISISLEX_C05_NEED_OF_SHELTERS,2019,12,18,-4.19804,2
boisestatepublicradio.org,CRISISLEX_C06_WATER_SANITATION,2019,12,9,-4.1666665,1
boisestatepublicradio.org,CRISISLEX_C06_WATER_SANITATION,2019,12,11,-2.7293403,1
boisestatepublicradio.org,CRISISLEX_C06_WATER_SANITATION,2019,12,20,-2.5974026,2
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,3,-2.2487557,2
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,4,-2.8688524,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,5,2.7522936,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,9,-3.265397,2
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,10,-7.135398,2
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,11,0.9892828,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,12,-4.913946,3
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,13,-4.9043064,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,18,-4.19804,2
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,19,-3.6061676,2
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,23,-4.8526864,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,25,0.5688282,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,27,-5.378486,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,28,-1.0709505,1
boisestatepublicradio.org,CRISISLEX_C07_SAFETY,2019,12,30,-5.157661,2
boisestatepublicradio.org,CRISISLEX_C08_TELECOM,2019,12,19,-3.6625514,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,2,3.3898306,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,3,0.4854369,2
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,4,-0.75600016,2
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,6,-4.097715,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,9,-3.491784,2
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,10,-1.5240687,2
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,11,-0.012403239,3
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,12,-6.264819,3
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,13,-4.9043064,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,16,-3.930131,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,17,0.62519765,2
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,18,-6.909091,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,19,-2.6479378,4
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,20,4.0816326,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,21,0,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,23,-4.8526864,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,25,0.5688282,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,27,-1.980198,1
boisestatepublicradio.org,CRISISLEX_CRISISLEXREC,2019,12,30,-5.157661,2
boisestatepublicradio.org,CRISISLEX_O01_WEATHER,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_O01_WEATHER,2019,12,6,-4.097715,1
boisestatepublicradio.org,CRISISLEX_O01_WEATHER,2019,12,9,2.189781,1
boisestatepublicradio.org,CRISISLEX_O01_WEATHER,2019,12,20,0,1
boisestatepublicradio.org,CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,2019,12,9,-2.8169014,1
boisestatepublicradio.org,CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,2019,12,10,-6.0740743,1
boisestatepublicradio.org,CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_T01_CAUTION_ADVICE,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_T01_CAUTION_ADVICE,2019,12,9,-2.8169014,1
boisestatepublicradio.org,CRISISLEX_T01_CAUTION_ADVICE,2019,12,10,-6.0740743,1
boisestatepublicradio.org,CRISISLEX_T01_CAUTION_ADVICE,2019,12,11,-0.6097561,1
boisestatepublicradio.org,CRISISLEX_T01_CAUTION_ADVICE,2019,12,12,-6.212019,1
boisestatepublicradio.org,CRISISLEX_T01_CAUTION_ADVICE,2019,12,30,-7.51634,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,3,-3.5856574,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,4,-1.28,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,9,-2.8169014,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,10,-6.0740743,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,11,-0.6097561,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,18,-6.909091,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,19,-3.6625514,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,25,0.5688282,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,27,-1.4529915,1
boisestatepublicradio.org,CRISISLEX_T02_INJURED,2019,12,30,-7.51634,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,3,-3.5856574,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,4,1.356852,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,6,-4.097715,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,9,-2.8169014,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,10,-1.1935868,3
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,11,-1.6695483,2
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,12,-6.212019,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,13,-4.9043064,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,17,-1.7199017,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,18,-6.909091,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,19,-3.6625514,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,23,-4.8526864,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,25,0.5688282,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,27,-5.378486,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,28,-1.0709505,1
boisestatepublicradio.org,CRISISLEX_T03_DEAD,2019,12,30,-7.51634,1
boisestatepublicradio.org,CRISISLEX_T04_INFRASTRUCTURE,2019,12,12,-6.212019,1
boisestatepublicradio.org,CRISISLEX_T04_INFRASTRUCTURE,2019,12,19,0,1
boisestatepublicradio.org,CRISISLEX_T04_INFRASTRUCTURE,2019,12,22,-0.54288816,1
boisestatepublicradio.org,CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,2019,12,1,-0.8130081,1
boisestatepublicradio.org,CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,2019,12,6,-4.097715,1
boisestatepublicradio.org,CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,2019,12,10,-6.0740743,1
boisestatepublicradio.org,CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,2019,12,12,-6.212019,1
boisestatepublicradio.org,CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,2019,12,30,-7.51634,1
boisestatepublicradio.org,CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED,2019,12,9,-2.8169014,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,3,-0.45592704,2
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,4,0.31439623,3
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,5,0.98036844,2
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,6,-2.179919,2
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,9,-0.3135602,2
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,10,3.0259366,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,11,-0.6097561,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,12,-4.7899475,2
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,16,-0.625,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,17,-1.7199017,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,19,-3.6625514,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,20,2.2395327,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,26,0,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,27,1.9503546,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,28,-1.0709505,1
boisestatepublicradio.org,CRISISLEX_T11_UPDATESSYMPATHY,2019,12,30,-7.51634,1
boisestatepublicradio.org,CYBER_ATTACK,2019,12,6,-0.19700551,2
boisestatepublicradio.org,DEATH_PENALTY,2019,12,13,-4.9043064,1
boisestatepublicradio.org,DEATH_PENALTY,2019,12,23,-4.8526864,1
boisestatepublicradio.org,DEFECTION,2019,12,13,-4.850746,1
boisestatepublicradio.org,DEFECTION,2019,12,14,-4.850746,1
boisestatepublicradio.org,DELAY,2019,12,6,0.4878049,1
boisestatepublicradio.org,DELAY,2019,12,12,-5.1619434,1
boisestatepublicradio.org,DELAY,2019,12,13,-3.1287572,2
boisestatepublicradio.org,DELAY,2019,12,18,-6.909091,1
boisestatepublicradio.org,DELAY,2019,12,28,-1.0709505,1
boisestatepublicradio.org,DEMOCRACY,2019,12,3,0.43103448,1
boisestatepublicradio.org,DEMOCRACY,2019,12,5,2.7522936,1
boisestatepublicradio.org,DEMOCRACY,2019,12,6,-4.097715,1
boisestatepublicradio.org,DEMOCRACY,2019,12,13,-1.2820513,1
boisestatepublicradio.org,DEMOCRACY,2019,12,17,-1.7199017,1
boisestatepublicradio.org,DEMOCRACY,2019,12,25,0.5688282,1
boisestatepublicradio.org,DISABILITY,2019,12,4,-1.28,1
boisestatepublicradio.org,DISABILITY,2019,12,18,6.521739,1
boisestatepublicradio.org,DISABILITY,2019,12,27,-5.378486,1
boisestatepublicradio.org,DISCRIMINATION,2019,12,11,-2.7293403,1
boisestatepublicradio.org,DISCRIMINATION,2019,12,21,0,1
boisestatepublicradio.org,DISCRIMINATION,2019,12,25,0.5688282,1
boisestatepublicradio.org,DISCRIMINATION_LGBT_HOMOPHOBIA,2019,12,11,-2.7293403,1
boisestatepublicradio.org,DISCRIMINATION_RACE_RACIST,2019,12,21,0,1
boisestatepublicradio.org,DRUG_TRADE,2019,12,12,-5.1619434,1
boisestatepublicradio.org,ECON_CENTRALBANK,2019,12,5,-0.7915567,1
boisestatepublicradio.org,ECON_COST_OF_LIVING,2019,12,13,2.7027028,1
boisestatepublicradio.org,ECON_DEBT,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ECON_DEVELOPMENTORGS_ASIAN_DEVELOPMENT_BANK,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ECON_DEVELOPMENTORGS_WORLD_BANK,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ECON_DEVELOPMENTORGS_WORLD_HEALTH_ORGANIZATION,2019,12,17,-1.7199017,1
boisestatepublicradio.org,ECON_DEVELOPMENTORGS_WORLD_HEALTH_ORGANIZATION,2019,12,25,0.5688282,1
boisestatepublicradio.org,ECON_ELECTRICALGENERATION,2019,12,12,-0.22421524,1
boisestatepublicradio.org,ECON_ELECTRICALGRID,2019,12,6,3.7037036,1
boisestatepublicradio.org,ECON_ELECTRICALGRID,2019,12,12,-0.22421524,1
boisestatepublicradio.org,ECON_ELECTRICALPRICE,2019,12,30,4.972376,1
boisestatepublicradio.org,ECON_ENTREPRENEURSHIP,2019,12,13,2.7027028,1
boisestatepublicradio.org,ECON_FOREIGNBANKS,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ECON_HOUSING_PRICES,2019,12,17,0.25188917,1
boisestatepublicradio.org,ECON_HOUSING_PRICES,2019,12,19,0,1
boisestatepublicradio.org,ECON_INFLATION,2019,12,9,-4.1666665,1
boisestatepublicradio.org,ECON_INTEREST_RATES,2019,12,5,-0.7915567,1
boisestatepublicradio.org,ECON_MONEYLAUNDERING,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ECON_TAXATION,2019,12,17,0.25188917,1
boisestatepublicradio.org,ECON_TAXATION,2019,12,20,-4.6875,1
boisestatepublicradio.org,ECON_TRADE_DISPUTE,2019,12,5,-0.7915567,1
boisestatepublicradio.org,ECON_WORLDCURRENCIES_DOLLAR,2019,12,5,-0.7915567,1
boisestatepublicradio.org,ECON_WORLDCURRENCIES_DOLLAR,2019,12,20,2.2395327,1
boisestatepublicradio.org,ECON_WORLDCURRENCIES_DOLLARS,2019,12,4,-1.28,1
boisestatepublicradio.org,ECON_WORLDCURRENCIES_DOLLARS,2019,12,6,-4.097715,1
boisestatepublicradio.org,ECON_WORLDCURRENCIES_DOLLARS,2019,12,28,-1.0709505,1
boisestatepublicradio.org,EDUCATION,2019,12,2,2.4,1
boisestatepublicradio.org,EDUCATION,2019,12,3,0.6159377,7
boisestatepublicradio.org,EDUCATION,2019,12,4,-1.0429766,5
boisestatepublicradio.org,EDUCATION,2019,12,5,2.7522936,1
boisestatepublicradio.org,EDUCATION,2019,12,6,-1.2817034,6
boisestatepublicradio.org,EDUCATION,2019,12,7,0,1
boisestatepublicradio.org,EDUCATION,2019,12,10,0.8093589,5
boisestatepublicradio.org,EDUCATION,2019,12,11,-0.9700555,4
boisestatepublicradio.org,EDUCATION,2019,12,12,-0.22421524,1
boisestatepublicradio.org,EDUCATION,2019,12,13,-2.024883,3
boisestatepublicradio.org,EDUCATION,2019,12,14,3.875969,1
boisestatepublicradio.org,EDUCATION,2019,12,16,-1.7309397,2
boisestatepublicradio.org,EDUCATION,2019,12,17,1.8660738,3
boisestatepublicradio.org,EDUCATION,2019,12,18,-4.9382715,1
boisestatepublicradio.org,EDUCATION,2019,12,19,-1.0152228,3
boisestatepublicradio.org,EDUCATION,2019,12,20,0.6266068,3
boisestatepublicradio.org,EDUCATION,2019,12,22,-0.54288816,1
boisestatepublicradio.org,EDUCATION,2019,12,26,0,1
boisestatepublicradio.org,EDUCATION,2019,12,27,-1.980198,1
boisestatepublicradio.org,ELECTION,2019,12,2,1.2,2
boisestatepublicradio.org,ELECTION,2019,12,3,0.48651418,2
boisestatepublicradio.org,ELECTION,2019,12,4,0.33206874,4
boisestatepublicradio.org,ELECTION,2019,12,5,-4.455446,1
boisestatepublicradio.org,ELECTION,2019,12,6,-2.6817687,2
boisestatepublicradio.org,ELECTION,2019,12,11,-2.5983145,1
boisestatepublicradio.org,ELECTION,2019,12,12,-5.540583,4
boisestatepublicradio.org,ELECTION,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ELECTION,2019,12,14,3.875969,1
boisestatepublicradio.org,ELECTION,2019,12,17,3.125,1
boisestatepublicradio.org,ELECTION,2019,12,18,-6.909091,1
boisestatepublicradio.org,ELECTION,2019,12,20,-0.35971224,1
boisestatepublicradio.org,ELECTION,2019,12,21,0,1
boisestatepublicradio.org,ELECTION,2019,12,23,-1.5873016,1
boisestatepublicradio.org,ELECTION,2019,12,27,1.9503546,1
boisestatepublicradio.org,ELECTION,2019,12,30,0,1
boisestatepublicradio.org,ENV_CLIMATECHANGE,2019,12,1,-0.8130081,1
boisestatepublicradio.org,ENV_CLIMATECHANGE,2019,12,3,0,1
boisestatepublicradio.org,ENV_CLIMATECHANGE,2019,12,11,-2.7293403,1
boisestatepublicradio.org,ENV_CLIMATECHANGE,2019,12,20,0,1
boisestatepublicradio.org,ENV_CLIMATECHANGE,2019,12,22,-0.54288816,1
boisestatepublicradio.org,ENV_CLIMATECHANGE,2019,12,25,0.5688282,1
boisestatepublicradio.org,ENV_COAL,2019,12,9,-4.1666665,1
boisestatepublicradio.org,ENV_COAL,2019,12,12,-0.22421524,1
boisestatepublicradio.org,ENV_COAL,2019,12,13,-1.5516319,1
boisestatepublicradio.org,ENV_COAL,2019,12,16,-2.8368795,1
boisestatepublicradio.org,ENV_COAL,2019,12,20,0,1
boisestatepublicradio.org,ENV_FISHERY,2019,12,16,-2.8368795,1
boisestatepublicradio.org,ENV_MINING,2019,12,11,0.9892828,1
boisestatepublicradio.org,ENV_MINING,2019,12,12,-0.22421524,1
boisestatepublicradio.org,ENV_SOLAR,2019,12,12,-0.22421524,1
boisestatepublicradio.org,ENV_SOLAR,2019,12,30,-2.1052632,1
boisestatepublicradio.org,ENV_SPECIESENDANGERED,2019,12,10,0,1
boisestatepublicradio.org,ENV_SPECIESENDANGERED,2019,12,16,-2.8368795,1
boisestatepublicradio.org,EPU_CATS_ENTITLEMENT_PROGRAMS,2019,12,4,-1.28,1
boisestatepublicradio.org,EPU_CATS_ENTITLEMENT_PROGRAMS,2019,12,20,-0.35971224,1
boisestatepublicradio.org,EPU_CATS_ENTITLEMENT_PROGRAMS,2019,12,22,-0.54288816,1
boisestatepublicradio.org,EPU_CATS_HEALTHCARE,2019,12,6,-0.2621232,1
boisestatepublicradio.org,EPU_CATS_HEALTHCARE,2019,12,17,-1.7199017,1
boisestatepublicradio.org,EPU_CATS_HEALTHCARE,2019,12,20,-0.35971224,1
boisestatepublicradio.org,EPU_CATS_MIGRATION_FEAR_FEAR,2019,12,4,-1.28,1
boisestatepublicradio.org,EPU_CATS_MIGRATION_FEAR_FEAR,2019,12,10,-3.508772,1
boisestatepublicradio.org,EPU_CATS_MIGRATION_FEAR_FEAR,2019,12,12,-2.8012218,3
